Sıra	ID	Konu	Doğru	Model	Sonuç	Süre(sn)	Reasoning Tokens
1	1	2023 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 2	C	C	DOĞRU	12.546	0
2	2	2023 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 11	A	A	DOĞRU	10.956	0
3	3	2023 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 22	B	B	DOĞRU	0.928	0
4	4	2023 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 27	D	D	DOĞRU	0.473	0
5	5	2023 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI-AVUKAT TESTİ - 4	E	B	YANLIŞ	1.195	0
6	6	2023 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI-AVUKAT TESTİ - 16	B	B	DOĞRU	1.082	0
7	7	2023 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI-AVUKAT TESTİ - 28	C	C	DOĞRU	1.109	0
8	8	2023 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI-AVUKAT TESTİ - 32	D	D	DOĞRU	2.709	0
9	9	2024 ADALET BAKANLIĞI SINAVLARI İDARİ YARGI TESTİ - 12	E	E	DOĞRU	0.676	0
10	10	2024 ADALET BAKANLIĞI SINAVLARI İDARİ YARGI TESTİ - 23	C	B	YANLIŞ	0.649	0
11	11	2024 ADALET BAKANLIĞI SINAVLARI İDARİ YARGI TESTİ - 28	B	B	DOĞRU	1.028	0
12	12	2024 ADALET BAKANLIĞI SINAVLARI İDARİ YARGI TESTİ - 35	A	A	DOĞRU	0.726	0
13	13	2024 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI-AVUKAT TESTİ - 6	B	B	DOĞRU	0.921	0
14	14	2024 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI-AVUKAT TESTİ - 12	D	D	DOĞRU	10.931	0
15	15	2024 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI-AVUKAT TESTİ - 21	C	D	YANLIŞ	0.683	0
16	16	2024 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI-AVUKAT TESTİ - 33	E	E	DOĞRU	1.211	0
17	17	2024 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 3	E	D	YANLIŞ	0.659	0
18	18	2024 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 15	C	C	DOĞRU	1.176	0
19	19	2024 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 19	B	A	YANLIŞ	0.701	0
20	20	2024 ADALET BAKANLIĞI SINAVLARI ADLİ YARGI TESTİ - 28	B	C	YANLIŞ	0.492	0
21	21	2023 ADALET BAKANLIĞI SINAVLARI İDARİ YARGI TESTİ - 8	B	B	DOĞRU	0.703	0
22	22	2023 ADALET BAKANLIĞI SINAVLARI İDARİ YARGI TESTİ - 22	C	C	DOĞRU	0.556	0
23	23	2023 ADALET BAKANLIĞI SINAVLARI İDARİ YARGI TESTİ - 26	A	A	DOĞRU	0.509	0
24	24	2024-HMGS ADALET BAKANLIĞI HUKUK MESLEKLERİNE GİRİŞ SINAVI - 4	C	[RAW:Soru metninde I, II ve III şeklinde belirtilen şık]	YANLIŞ	10.598	0
25	25	2024-HMGS ADALET BAKANLIĞI HUKUK MESLEKLERİNE GİRİŞ SINAVI - 28	E	E	DOĞRU	1.000	0
26	26	2024-HMGS ADALET BAKANLIĞI HUKUK MESLEKLERİNE GİRİŞ SINAVI - 41	E	E	DOĞRU	1.179	0
27	27	2024-HMGS ADALET BAKANLIĞI HUKUK MESLEKLERİNE GİRİŞ SINAVI - 39	E	B	YANLIŞ	1.071	0
28	28	2024-HMGS ADALET BAKANLIĞI HUKUK MESLEKLERİNE GİRİŞ SINAVI - 62	B	A	YANLIŞ	0.499	0
29	29	2024-HMGS ADALET BAKANLIĞI HUKUK MESLEKLERİNE GİRİŞ SINAVI - 71	C	C	DOĞRU	1.228	0
30	30	2024-HMGS ADALET BAKANLIĞI HUKUK MESLEKLERİNE GİRİŞ SINAVI - 78	E	E	DOĞRU	0.589	0
31	31	2024-HMGS ADALET BAKANLIĞI HUKUK MESLEKLERİNE GİRİŞ SINAVI - 81	C	C	DOĞRU	1.335	0
32	32	2024-HMGS ADALET BAKANLIĞI HUKUK MESLEKLERİNE GİRİŞ SINAVI - 85	A	B	YANLIŞ	10.919	0
33	33	2024-HMGS ADALET BAKANLIĞI HUKUK MESLEKLERİNE GİRİŞ SINAVI - 91	B	[EMPTY_CHOICES]	HATA	22.622	0
34	34	2022-AB/Adli Yargı ADLİ YARGI TESTİ - 3	C	B	YANLIŞ	10.873	0
35	35	2022-AB/Adli Yargı ADLİ YARGI TESTİ - 10	E	B	YANLIŞ	0.851	0
36	36	2022-AB/Adli Yargı ADLİ YARGI TESTİ - 29	D	B	YANLIŞ	2.087	0
37	37	2022-AB/Adli Yargı ADLİ YARGI TESTİ - 32	E	E	DOĞRU	1.510	0
38	38	2022-AB/Av. Adli Yargı ADLİ YARGI-AVUKAT TESTİ - 4	B	B	DOĞRU	1.225	0
39	39	2022-AB/Av. Adli Yargı ADLİ YARGI-AVUKAT TESTİ - 7	D	D	DOĞRU	0.921	0
40	40	2022-AB/Av. Adli Yargı ADLİ YARGI-AVUKAT TESTİ - 16	A	A	DOĞRU	0.516	0
41	41	2022-AB/Av. Adli Yargı ADLİ YARGI-AVUKAT TESTİ - 28	C	C	DOĞRU	0.825	0
42	42	2022-AB/İdari Yargı İDARİ YARGI TESTİ - 2	C	C	DOĞRU	1.249	0
43	43	2022-AB/İdari Yargı İDARİ YARGI TESTİ - 19	E	B	YANLIŞ	0.502	0
44	44	2022-AB/İdari Yargı İDARİ YARGI TESTİ - 23	C	E	YANLIŞ	0.512	0
45	45	2024 ADALET BAKANLIĞI İDARİ YARGI ÖN SINAVI - 4	D	B	YANLIŞ	0.498	0
46	46	2024 ADALET BAKANLIĞI İDARİ YARGI ÖN SINAVI - 19	D	B	YANLIŞ	1.336	0
47	47	2024 ADALET BAKANLIĞI İDARİ YARGI ÖN SINAVI - 25	B	B	DOĞRU	3.934	0
48	48	2024 ADALET BAKANLIĞI İDARİ YARGI ÖN SINAVI - 38	C	E	YANLIŞ	0.632	0
